# name;planet_status;mass;mass_error_min;mass_error_max;mass_sini;mass_sini_error_min;mass_sini_error_max;radius;radius_error_min;radius_error_max;orbital_period;orbital_period_error_min;orbital_period_error_max;semi_major_axis;semi_major_axis_error_min;semi_major_axis_error_max;eccentricity;inclination;angular_distance;discovered;detection_type;mag_v;star_distance;star_mass
11 Com b;Confirmed;;;;19.4;1.5;1.5;;;;326.03;0.32;0.32;1.29;0.05;0.05;0.231;;0.011664;2008;Radial Velocity;4.74;110.6;2.7
11 Oph b;Confirmed;21.0;3.0;3.0;;;;;;;730000.0;365000.0;365000.0;243.0;55.0;55.0;;;1.675862;2007;Imaging;;145.0;0.0162
11 UMi b;Confirmed;;;;10.5;2.47;2.47;;;;516.22;3.25;3.25;1.54;0.07;0.07;0.08;;0.012887;2009;Radial Velocity;5.02;119.5;1.8
14 And b;Confirmed;;;;5.33;0.57;0.57;;;;185.84;0.23;0.23;0.83;;;0.0;;0.010864;2008;Radial Velocity;5.22;76.4;2.2
14 Her b;Confirmed;;;;4.64;0.19;0.19;;;;1773.4;2.5;2.5;2.77;0.05;0.05;0.369;;0.153039;2002;Radial Velocity;6.67;18.1;0.9
14 Her c;Confirmed;5.8;1.0;1.4;;;;;;;6906.0;70.0;70.0;16.4;4.3;0.3;0.45;;0.381215;2006;Radial Velocity;6.67;18.1;0.9
16 Cyg B b;Confirmed;;;;1.68;0.07;0.07;;;;799.5;0.6;0.6;1.68;0.03;0.03;0.689;;0.078468;1996;Radial Velocity;6.2;21.41;1.01
17 Sco b;Confirmed;;;;4.32;0.12;0.15;;;;578.38;2.0;2.0;1.45;0.02;0.02;0.06;;;2020;Radial Velocity;5.24;116.0;1.22
18 Del b;Confirmed;;;;10.3;;;;;;993.3;3.2;3.2;2.6;;;0.08;;0.035568;2008;Radial Velocity;5.52;73.1;2.3
1I/'Oumuamua;Confirmed;;;;;;;2E-06;;;;;;;;;1.196;;;2017;Imaging;;;1.0
1RXS 1609 b;Confirmed;14.0;3.0;2.0;;;;1.7;;;;;;330.0;0.0;0.0;;;2.275862;2008;Imaging;;145.0;0.73
1RXS J235133.3+312720 b;Confirmed;32.0;6.0;6.0;;;;;;;;;;120.0;20.0;20.0;;;;2012;Imaging;13.6;;0.45
1SWASP J1407 b;Confirmed;;;;20.0;6.0;6.0;;;;3725.0;900.0;900.0;3.9;1.7;1.7;;;;2012;Primary Transit;12.4;133.0;0.9
24 Boo b;Confirmed;;;;0.91;0.1;0.13;;;;30.3506;0.0078;0.0078;0.19;0.009;0.012;0.042;;;2018;Radial Velocity;5.6;100.0;0.99
24 Sex b;Confirmed;;;;1.99;0.38;0.26;;;;452.8;4.5;2.1;1.333;0.009;0.004;0.09;;0.017821;2010;Radial Velocity;7.38;72.2084;1.54
24 Sex c;Confirmed;;;;0.86;0.22;0.35;;;;883.0;14.0;32.0;2.08;0.02;0.05;0.29;;0.027807;2010;Radial Velocity;7.38;72.2084;1.54
2I/Borisov;Confirmed;;;;;;;6.2e-05;;;;;;;;;3.155;;;2019;Imaging;;;1.0
2M 0103-55 (AB) b;Confirmed;13.0;1.0;1.0;;;;;;;;;;84.0;;;;;;2013;Imaging;;47.2;0.4
2M 0219-39 b;Confirmed;13.9;1.1;1.1;;;;1.44;0.03;0.03;;;;156.0;10.0;10.0;;;;2015;Imaging;;39.4;0.11
2M 0441+23 b;Confirmed;7.5;2.5;2.5;;;;;;;;;;15.0;0.6;0.6;;;0.107143;2010;Imaging;;140.0;0.02
2M 1938+46 b;Confirmed;1.9;0.1;0.1;;;;;;;416.0;2.0;2.0;0.92;0.02;0.02;;;;2015;Timing;;;0.6
2M 2140+16 b;Confirmed;20.0;20.0;80.0;;;;0.92;0.39;0.39;7340.0;584.0;584.0;3.53;0.15;0.15;0.26;46.2;0.1412;2010;Imaging;;25.0;0.08
2M 2206-20 b;Confirmed;30.0;20.0;70.0;;;;1.3;0.18;0.18;8686.0;69.4;69.4;4.48;0.4;0.4;0.0;44.3;0.167979;2010;Imaging;;26.67;0.13
2M 2236+4751 b;Confirmed;12.5;1.5;1.5;;;;;;;;;;230.0;20.0;20.0;;;3.7;2016;Imaging;12.5;63.0;0.6
2M J2126-81 b;Confirmed;13.3;1.7;1.7;;;;;;;;;;6900.0;;;;;;2016;Imaging;9.0;24.75;0.4
2M0045+16;Confirmed;25.0;4.6;4.6;;;;;;;;;;;;;;;;2019;Imaging;;15.4;
2M0117-34;Confirmed;16.4;3.7;3.7;;;;;;;;;;;;;;;;2019;Imaging;;39.02;
2M0838+15 b;Confirmed;;;;;;;;;;;;;27.0;2.7;2.7;;;;2013;Imaging;;49.0;
2M0838+15 c;Confirmed;;;;;;;;;;;;;27.0;2.7;2.7;;;;2013;Imaging;;49.0;
2M1059-21 b;Confirmed;66.95;4.84;4.41;;;;;;;690.0;3.0;3.4;0.8;0.02;0.01;0.146;32.9;;2020;Astrometry;;31.81;0.81
2M1207 A;Confirmed;60.0;20.0;80.0;;;;;;;;;;42.0;2.0;19.0;;;;2004;Imaging;;52.4;
2M1207 b;Confirmed;5.0;2.0;2.0;;;;;;;;;;42.0;2.0;19.0;;;0.877863;2004;Imaging;;52.4;
2M1510A a;Confirmed;40.0;3.0;3.0;;;;1.57;1.56;1.57;20.902;0.006;0.006;0.063;0.001;0.001;0.31;88.5;;2020;Primary Transit;;36.6;
2M1510A b;Confirmed;39.3;3.0;3.0;;;;1.57;1.56;1.57;20.902;0.006;0.006;0.063;0.001;0.001;0.31;88.5;;2020;Primary Transit;;36.6;
2MASS 0359+2009 b;Confirmed;20.0;5.0;5.0;;;;;;;;;;540.0;;;;;;2019;Imaging;;117.76;0.06
2MASS J00413538-5621127 A;Confirmed;30.0;;;;;;;;;;;;;;;;;;2009;Imaging;;34.7133;
2MASS J00413538-5621127 B;Confirmed;15.0;;;;;;;;;126.0;37.0;86.0;8.9;1.9;3.7;;;;2010;Imaging;;34.7133;
2MASS J01225093-2439505 b;Confirmed;24.5;2.5;2.5;;;;;;;;;;52.0;6.0;6.0;;;;2013;Imaging;;36.0;0.4
2MASS J0249-0557 (AB) c;Confirmed;11.6;1.0;1.3;;;;;;;;;;;;;;;;2018;Astrometry;;48.9;
2MASS J0249-0557A;Confirmed;48.0;12.0;13.0;;;;;;;;;;;;;;;;2018;Astrometry;;48.9;
2MASS J0249-0557B;Confirmed;44.0;11.0;14.0;;;;;;;;;;;;;;;;2018;Astrometry;;48.9;
2MASS J0348-6022;Confirmed;43.0;18.0;22.0;;;;0.91;0.1;0.2;;;;;;;;;;2021;Imaging;;9.0;
2MASS J0407+1546;Confirmed;67.0;28.0;9.0;;;;0.97;0.8;0.24;;;;;;;;;;2021;Imaging;;36.4421;
2MASS J06023447-0034369 b;Confirmed;1.1;0.1;0.1;;;;1.3;;;3.0525;0.0001;0.0001;;;;;;;2021;Primary Transit;;;
2MASS J10475385+2124234;Confirmed;42.0;26.0;26.0;;;;;;;;;;;;;;;;1999;Imaging;;10.56;
2MASS J11011926-7732383 A;Confirmed;50.0;;;;;;;;;;;;;;;;;;2004;Imaging;;168.0;
2MASS J11011926-7732383 B;Confirmed;30.0;;;;;;;;;;;;240.0;;;;;;2004;Imaging;;168.0;
2MASS J1119-1137 b;Confirmed;3.7;0.9;1.2;;;;;;;32850.0;;;;;;;;;2017;Imaging;;;
2MASS J1155-7919 b;Confirmed;10.0;;;;;;;;;;;;582.0;;;;;;2020;Imaging;14.0;101.15;
2MASS J1219+3128;Confirmed;49.0;25.0;25.0;;;;0.97;0.13;0.27;;;;;;;;;;2021;Imaging;;19.0;
2MASS J1450-7841 A;Confirmed;40.0;;;;;;;;;;;;300.0;;;;;;2017;Imaging;;75.0;0.04
2MASS J1450-7841 B;Confirmed;40.0;;;;;;;;;;;;300.0;;;;;;2017;Imaging;;75.0;0.04
2MASS J15344984-2952274 A;Confirmed;30.1;1.7;1.7;;;;;;;;;;;;;;;;2008;Astrometry;;15.9;
2MASS J15344984-2952274 B;Confirmed;28.2;1.7;1.7;;;;;;;5550.0;950.0;950.0;2.3;0.3;0.3;0.24;84.3;;2008;Astrometry;;15.9;
2MASS J155947+440359 b;Confirmed;43.0;9.0;9.0;;;;;;;;;;1101.23;66.35;66.35;;;;2012;Imaging;11.8;44.76;
2MASS J2250+2325 b;Confirmed;30.0;4.0;11.0;;;;;;;;;;518.0;40.0;40.0;;;;2017;Imaging;;41.5;
2MASSW J2208136+292121;Confirmed;10.0;1.0;1.0;;;;;;;;;;;;;;;;2000;Imaging;;50.0;
3 Cnc b;Confirmed;;;;20.76;0.73;0.73;;;;853.64;4.76;4.76;2.52;0.04;0.03;0.04;;;2020;Radial Velocity;5.6;243.3;2.94
38 Vir b;Confirmed;;;;4.51;0.5;0.5;;;;825.9;6.2;6.2;1.82;0.07;0.07;0.03;;;2016;Primary Transit;6.11;;1.18
4 Uma b;Confirmed;;;;7.1;1.6;1.6;;;;269.3;1.96;1.96;0.87;0.04;0.04;0.432;;0.011083;2007;Radial Velocity;5.79;78.5;1.234
42 Dra b;Confirmed;;;;3.88;0.85;0.85;;;;479.1;6.2;6.2;1.19;0.01;0.01;0.38;;0.01223;2009;Radial Velocity;4.83;97.3;0.98
44 Uma b;Confirmed;;;;12.11;0.85;0.2;;;;785.74;4.77;4.8;2.16;0.06;0.02;0.11;;;2020;Radial Velocity;5.12;200.4;2.19
47 Uma b;Confirmed;;;;2.53;0.06;0.07;;;;1078.0;2.0;2.0;2.1;0.02;0.02;0.032;;0.150322;1996;Radial Velocity;5.1;13.97;1.03
47 Uma c;Confirmed;;;;0.54;0.073;0.066;;;;2391.0;87.0;100.0;3.6;0.1;0.1;0.098;;0.257695;2001;Radial Velocity;5.1;13.97;1.03
47 Uma d;Confirmed;;;;1.64;0.48;0.29;;;;14002.0;5095.0;4018.0;11.6;2.9;2.1;0.16;;0.830351;2010;Radial Velocity;5.1;13.97;1.03
51 Eri b;Confirmed;2.6;0.3;0.3;;;;1.11;0.13;0.16;10260.0;1800.0;6300.0;11.1;1.3;4.2;0.49;136.0;;2015;Imaging;5.223;29.4;1.75
51 Peg b;Confirmed;0.47;0.07;0.03;0.46;0.06;0.01;1.9;0.3;0.3;4.2308;3.72905e-05;3.72905e-05;0.052;;;0.0069;80.0;0.003537;1995;Radial Velocity;5.49;14.7;1.11
55 Cnc b;Confirmed;0.84;0.031;0.23;0.84;0.031;0.131;;;;14.65314;0.00095;0.0009;0.11339;0.00011;0.00011;0.0023;89.73;0.009303;1996;Radial Velocity;5.95;12.34;1.015
55 Cnc c;Confirmed;;;;0.1784;0.0078;0.0275;;;;44.373;0.018;0.02;0.23735;0.00024;0.00024;0.072;;0.019473;2002;Radial Velocity;5.95;12.34;1.015
55 Cnc d;Confirmed;;;;3.86;0.15;0.6;;;;4867.0;26.0;25.0;5.446;0.02;0.02;0.0269;;0.466775;2002;Radial Velocity;5.95;12.34;1.015
55 Cnc e;Confirmed;0.02703;0.00135;0.00135;;;;0.1737;0.00339;0.00339;0.7365478;1.2e-06;1.6e-06;0.015439;1.5e-05;1.5e-05;0.028;90.36;0.001264;2004;Primary Transit;5.95;12.34;1.015
55 Cnc f;Confirmed;;;;0.1479;0.0093;0.0219;;;;260.91;0.36;0.36;0.7733;0.001;0.001;0.08;;0.06329;2007;Radial Velocity;5.95;12.34;1.015
6 Lyn b;Confirmed;;;;2.01;0.077;0.077;;;;934.3;8.6;8.6;2.11;0.11;0.11;0.073;;0.038664;2008;Radial Velocity;5.86;56.9;1.7
61 Vir b;Confirmed;;;;0.016;0.0016;0.0016;;;;4.215;0.0006;0.0006;0.050201;5E-06;5E-06;0.12;;0.005892;2009;Radial Velocity;4.74;8.52;0.95
61 Vir c;Confirmed;;;;0.0573;0.0035;0.0035;;;;38.021;0.034;0.034;0.2175;0.0001;0.0001;0.14;;0.025528;2009;Radial Velocity;4.74;8.52;0.95
61 Vir d;Confirmed;;;;0.072;0.008;0.008;;;;123.01;0.55;0.55;0.476;0.001;0.001;0.35;;0.055869;2009;Radial Velocity;4.74;8.52;0.95
7 CMA c;Confirmed;;;;0.906;0.06;0.06;;;;988.9;52.0;1.5;2.143;0.08;0.003;0.046;;;2019;Radial Velocity;3.96;19.75;1.52
7 CMa b;Confirmed;;;;1.895;0.04;0.06;;;;736.9;1.0;14.8;1.761;0.01;0.024;0.055;;0.096203;2011;Radial Velocity;3.96;19.75;1.52
70 Vir b;Confirmed;;;;6.6;;;;;;116.67;0.01;0.01;0.48;;;0.43;;0.021818;1996;Radial Velocity;5.0;22.0;0.92
75 Cet b;Confirmed;;;;3.0;;;;;;691.9;3.6;3.6;2.1;;;;;;2012;Radial Velocity;5.36;81.5;2.49
8 Umi b;Confirmed;;;;1.5;0.2;0.2;;;;93.4;4.5;4.5;0.49;0.03;0.03;0.06;;;2015;Radial Velocity;6.83;159.1;1.8
81 Cet b;Confirmed;;;;5.3;;;;;;952.7;8.8;8.8;2.5;;;0.206;;0.02572;2008;Radial Velocity;5.65;97.2;2.4
91 Aqr b;Confirmed;;;;3.2;;;;;;181.4;0.1;0.1;0.7;;;0.027;;0.006593;2003;Radial Velocity;4.21;45.9;1.4
AB Dor C b;Confirmed;13.0;1.0;1.0;;;;;;;;;;0.58;;;;;;2019;Imaging;;15.8;0.072
AB Pic b;Confirmed;13.5;0.5;0.5;;;;;;;;;;275.0;;;;;5.813953;2005;Imaging;9.16;47.3;
AD 3116 b;Confirmed;54.2;4.3;4.3;;;;1.02;0.28;0.28;1.982796;6.4e-06;6.4e-06;;;;0.146;88.4;;2017;Primary Transit;;186.54;0.276
AS 205 A b;Confirmed;;;;19.25;1.96;1.96;;;;24.84;0.03;0.03;0.162;0.04;0.04;0.35;;;2017;Radial Velocity;12.4;140.0;0.9
ASASSN-16kr b;Confirmed;42.0;1.0;1.0;;;;1.05;0.01;0.01;0.061285932;1E-09;1E-09;0.003;0.005;0.005;;86.4;;2021;Default;19.0;160.5;0.952
ASASSN-17jf b;Confirmed;60.0;8.0;8.0;;;;1.12;0.04;0.04;0.0567904;7E-07;7E-07;0.0026;0.009;0.009;;83.7;;2021;Default;20.0;286.0;0.669
AU Mic b;Confirmed;0.053;0.016;0.016;;;;0.3908;0.0161;0.0161;8.462991;2.4e-06;2.4e-06;0.0645;0.0013;0.0013;0.0;89.03;;2020;Primary Transit;8.6;9.79;0.5
AU Mic c;Confirmed;0.0463;0.041;0.041;;;;0.3131;0.0143;0.0143;18.858991;1E-05;1E-05;0.1101;0.0022;0.0022;0.0;88.62;;2020;Primary Transit;8.6;9.79;0.5
BD+03 2562 b;Confirmed;;;;6.4;1.3;1.3;;;;481.9;2.8;2.7;1.3;0.1;0.1;0.2;;;2017;Radial Velocity;9.58;2618.0;1.14
BD+14 4559 b;Confirmed;;;;1.47;;;;;;268.94;0.99;0.99;0.777;;;0.29;;0.01554;2009;Radial Velocity;9.63;50.0;0.86
BD+15 2375 b;Confirmed;;;;1.06;0.27;0.27;;;;153.22;0.44;0.44;0.576;0.027;0.027;0.001;;;2016;Radial Velocity;10.3;774.0;1.08
BD+15 2940 b;Confirmed;;;;1.11;;;;;;137.48;0.34;0.34;0.539;;;0.26;;;2013;Radial Velocity;9.19;585.0;1.1
BD+20 2457 b;Confirmed;;;;21.42;;;;;;379.63;2.01;2.01;1.45;;;0.15;;0.00725;2009;Radial Velocity;9.75;1670.0;2.8
BD+20 2457 c;Confirmed;;;;12.47;;;;;;621.99;10.2;10.2;2.01;;;0.18;;0.01005;2009;Radial Velocity;9.75;1670.0;2.8
BD+20 274 b;Confirmed;;;;4.2;;;;;;578.2;5.4;5.4;1.3;;;0.21;;;2010;Default;9.36;;0.8
BD+20 594 b;Confirmed;0.07;0.03;0.03;0.0513;0.019;0.019;0.23;0.01;0.01;41.6855;0.0031;0.0031;0.241;0.019;0.019;0.0;89.55;;2016;Primary Transit;11.0;180.39;1.67
BD+24 4697 b;Confirmed;;;;53.0;3.0;3.0;;;;145.081;0.016;0.016;0.5;0.08;0.08;0.50048;;;2016;Radial Velocity;9.74;44.7922;0.75
BD+26 1888 b;Confirmed;;;;26.0;2.0;2.0;;;;536.78;0.25;0.25;1.19;0.05;0.05;0.2675;;;2016;Radial Velocity;9.76;38.0;0.76
BD+45 564 b;Confirmed;;;;1.36;0.12;0.12;;;;307.88;1.47;1.47;0.83;0.04;0.04;0.12;;;2021;Radial Velocity;9.5;53.7;
BD+48 738 b;Confirmed;;;;0.91;;;;;;392.6;5.5;5.5;1.0;;;0.2;;;2011;Radial Velocity;9.14;;0.74
BD+48 740 b;Confirmed;;;;1.7;0.7;0.7;;;;733.0;8.0;5.0;1.7;0.7;0.7;0.76;;;2012;Default;8.7;678.933;1.09
BD+49 828 b;Confirmed;;;;1.6;0.2;0.4;;;;2590.0;180.0;300.0;4.2;0.2;0.32;0.35;;;2015;Radial Velocity;9.38;;1.52
BD+55 362 b;Confirmed;;;;0.72;0.08;0.08;;;;265.59;1.04;1.04;0.78;0.05;0.05;0.27;;;2021;Radial Velocity;9.2;52.65;
BD+63 1405 b;Confirmed;;;;3.96;0.31;0.31;;;;1198.48;;;2.06;0.14;0.14;0.88;;;2021;Radial Velocity;9.0;38.09;
BD-00 4475 b;Confirmed;;;;23.05;2.23;2.23;;;;723.2;0.74;0.74;1.48;0.11;0.11;0.39;;;2021;Radial Velocity;9.0;42.69;
BD-06 1339 b;Confirmed;;;;0.027;0.004;0.004;;;;3.8728;0.0004;0.0004;0.0428;0.0007;0.0007;0.0;;;2013;Radial Velocity;6.69;20.0;0.7
BD-06 1339 c;Confirmed;;;;0.17;0.03;0.03;;;;125.94;0.44;0.44;0.435;0.007;0.007;0.31;;;2013;Radial Velocity;6.69;20.0;0.7
BD-06 1339 d;Confirmed;;;;0.0582;0.0296;0.0365;;;;487.0;26.0;26.0;1.06;0.07;0.07;0.02;;;2014;Radial Velocity;6.69;20.0;0.7
BD-08 2823 b;Confirmed;;;;0.045;0.007;0.007;;;;5.6;0.02;0.02;0.056;0.002;0.002;0.15;;0.001327;2009;Radial Velocity;9.86;42.2;0.74
BD-08 2823 c;Confirmed;;;;0.33;0.03;0.03;;;;237.6;1.5;1.5;0.68;0.02;0.02;0.19;;0.016114;2009;Radial Velocity;9.86;42.2;0.74
BD-10 3166 b;Confirmed;;;;0.46;;;1.03;;;3.4878;0.0001;0.0001;0.046;;;0.0104;;0.000697;2000;Radial Velocity;10.08;66.0;0.99
BD-11 4672 b;Confirmed;;;;0.65;0.05;0.05;;;;1634.0;14.0;14.0;2.36;0.04;0.04;0.05;;0.091575;2010;Radial Velocity;10.02;27.3;0.571
BD-11 4672 c;Confirmed;;;;0.04836;0.0066;0.009;;;;74.2;0.08;0.08;0.3;0.01;0.01;0.4;;;2020;Radial Velocity;10.02;27.3;0.571
BD-17 63 b;Confirmed;;;;5.1;0.12;0.12;;;;655.6;0.6;0.6;1.34;0.02;0.02;0.54;;0.038728;2008;Radial Velocity;9.62;34.6;0.74
CD Cet b;Confirmed;0.01244;0.00136;inf;0.01243;0.00135;0.00135;;;;2.2907;0.00012;0.00012;0.0185;0.0013;0.0013;;87.48;;2020;Radial Velocity;12.0;8.609;0.161
CD-35 2722 b;Confirmed;31.0;8.0;8.0;;;;;;;;;;67.0;4.0;4.0;;;3.14554;2011;Imaging;10.98;21.3;0.4
CFBD 1458 B;Confirmed;10.5;4.5;4.5;;;;;;;;;;2.6;0.3;0.3;;;;2011;Imaging;;23.1;
CFBDS 1458 A;Confirmed;24.1;15.9;15.9;;;;;;;;;;;;;;;;2010;Imaging;;23.1;
CFBDS0059;Confirmed;22.5;17.5;17.5;;;;;;;;;;;;;;;;2008;Imaging;;13.0;
CFBDSIR J2149-0403 b;Confirmed;21.0;19.0;19.0;;;;;;;;;;;;;;;;2017;Imaging;;55.2;
CHXR 73 b;Confirmed;12.0;5.0;8.0;;;;;;;;;;200.0;;;;;;2006;Imaging;;;0.35
CI Tau b;Confirmed;11.6;2.7;2.9;;;;;;;8.9891;0.0202;0.0202;;;;0.25;50.5;;2016;Radial Velocity;13.0;158.0;0.9
COCONUTS-2 b;Confirmed;6.4;2.0;2.0;;;;1.12;0.04;0.04;;;;6471.0;;;;;594.0;2021;Imaging;11.3;10.89;0.37
CT Cha b;Confirmed;17.0;6.0;6.0;;;;2.2;0.6;0.6;;;;440.0;;;;;2.666667;2008;Imaging;12.36;165.0;
CWISEP J144606.62-231717.8;Confirmed;11.0;9.0;9.0;;;;;;;;;;;;;;;;2019;Imaging;;10.1;
CWISEP J1935-1546;Confirmed;11.0;9.0;9.0;;;;;;;;;;;;;;;;2019;Imaging;;10.1;
Cha Ha 8 b;Confirmed;;;;25.0;7.0;7.0;;;;1895.0;132.0;132.0;1.02;0.06;0.06;0.59;;0.006375;2007;Radial Velocity;20.1;196.76;0.085
CoRoT-1 b;Confirmed;1.03;0.12;0.12;;;;1.49;0.08;0.08;1.5089557;6.4e-06;6.4e-06;0.0254;0.0004;0.0004;0.0;83.96;5.5e-05;2007;Primary Transit;13.6;460.0;0.95
CoRoT-10 b;Confirmed;2.75;0.14;0.14;;;;0.97;0.05;0.05;13.2406;0.0002;0.0002;0.1055;0.0021;0.0021;0.53;88.55;0.000306;2010;Primary Transit;15.22;345.0;0.89
CoRoT-11 b;Confirmed;2.33;0.27;0.27;;;;1.43;0.033;0.033;2.994325;2.1e-05;2.1e-05;0.04351;0.00036;0.00036;0.0;81.41;7.8e-05;2010;Primary Transit;12.94;560.0;1.27
CoRoT-12 b;Confirmed;0.917;0.065;0.07;;;;1.44;0.13;0.13;2.828042;1.3e-05;1.3e-05;0.04016;0.00092;0.00092;0.07;85.48;3.5e-05;2010;Primary Transit;15.52;1150.0;1.078
CoRoT-13 b;Confirmed;1.308;0.066;0.066;;;;0.885;0.014;0.014;4.03519;3E-05;3E-05;0.051;0.0031;0.0031;0.0;88.02;3.9e-05;2010;Primary Transit;15.04;1310.0;1.09
CoRoT-14 b;Confirmed;7.6;0.6;0.6;;;;1.09;0.07;0.07;1.51214;0.00013;0.00013;0.027;0.002;0.002;0.0;79.6;2E-05;2010;Primary Transit;16.03;1340.0;1.13
CoRoT-15 b;Confirmed;63.4;4.1;4.3;63.3;4.0;4.0;1.12;0.15;0.3;3.06036;3E-05;3E-05;0.045;0.01;0.014;0.0;86.7;;2010;Primary Transit;;;
CoRoT-16 b;Confirmed;0.535;0.085;0.085;;;;1.17;0.14;0.14;5.35227;0.0002;0.0002;0.0618;0.0015;0.0015;0.33;85.01;7.4e-05;2010;Primary Transit;15.64;840.0;1.098
CoRoT-17 b;Confirmed;2.43;0.16;0.16;;;;1.02;0.07;0.07;3.768125;0.000257;0.000257;0.0461;0.0008;0.0008;0.0;88.34;5E-05;2010;Primary Transit;15.46;920.0;1.04
CoRoT-18 b;Confirmed;3.47;0.38;0.38;;;;1.31;0.18;0.18;1.9000693;2.8e-06;2.8e-06;0.0295;0.0016;0.0016;0.08;86.5;3.4e-05;2011;Primary Transit;14.99;870.0;0.95
CoRoT-19 b;Confirmed;1.11;0.06;0.06;;;;1.29;0.05;0.05;3.89713;2E-05;2E-05;0.0518;0.0008;0.0008;0.047;87.61;6.5e-05;2011;Primary Transit;14.78;800.0;1.21
CoRoT-2 b;Confirmed;3.31;0.16;0.16;;;;1.465;0.029;0.029;1.7429964;1.7e-06;1.7e-06;0.0281;0.0009;0.0009;0.0;87.84;9.4e-05;2007;Primary Transit;12.57;300.0;0.97
CoRoT-20 b;Confirmed;4.24;0.23;0.23;;;;0.84;0.04;0.04;9.24285;0.0;0.0;0.0902;0.0021;0.0021;0.562;88.21;7.3e-05;2011;Primary Transit;14.66;1230.0;1.14
CoRoT-21 b;Confirmed;2.26;0.31;0.31;;;;1.3;0.14;0.14;2.72474;0.00014;0.00014;0.0417;0.0011;0.0011;0.0;86.8;;2011;Primary Transit;16.0;;1.29
CoRoT-22 b;Confirmed;0.06;0.0214;0.0941;;;;0.4354;0.0348;0.0152;9.75598;0.00011;0.00011;0.092;0.0014;0.0014;0.077;89.749;0.000149;2011;Primary Transit;11.93;592.0;1.099
CoRoT-23 b;Confirmed;2.8;0.25;0.25;;;;1.08;0.13;0.13;3.6314;0.0001;0.0001;0.0477;0.0038;0.0038;0.16;85.7;8E-05;2011;Primary Transit;15.63;600.0;1.14
CoRoT-24 b;Confirmed;0.018;inf;nan;;;;0.33;0.04;0.04;5.1134;0.0006;0.0006;0.056;0.002;0.002;0.0;86.5;9.3e-05;2011;Primary Transit;;600.0;0.91
CoRoT-24 c;Confirmed;0.088;0.035;0.035;;;;0.44;0.04;0.04;11.759;0.0063;0.0063;0.098;0.003;0.003;0.0;89.0;0.000163;2011;Primary Transit;;600.0;0.91
CoRoT-25 b;Confirmed;0.27;0.04;0.04;;;;1.08;0.1;0.3;4.86069;6E-05;6E-05;0.0578;0.0029;0.0029;;84.5;;2012;Primary Transit;15.0;1000.0;1.09
CoRoT-26 b;Confirmed;0.52;0.05;0.05;;;;1.26;0.07;0.13;4.20474;5E-05;5E-05;0.0526;0.001;0.001;0.0;86.8;;2012;Primary Transit;15.76;1670.0;1.09
CoRoT-27 b;Confirmed;10.39;0.55;0.55;;;;1.007;0.044;0.044;3.57532;6E-05;6E-05;0.0476;0.0066;0.0066;0.065;86.7;;2012;Primary Transit;15.54;;1.05
CoRoT-28 b;Confirmed;;;;0.484;0.087;0.087;0.955;0.066;0.066;5.20851;0.00038;0.00038;0.059;0.0027;0.0027;0.047;;;2012;Primary Transit;13.49;560.0;1.01
CoRoT-29 b;Confirmed;0.85;0.2;0.2;0.85;0.2;0.2;0.9;0.16;0.16;2.85057;6E-06;6E-06;0.039;0.002;0.002;0.082;87.3;;2012;Primary Transit;15.35;765.0;0.976
CoRoT-3 b;Confirmed;21.66;1.0;1.0;;;;1.19;0.1;0.1;4.2567994;5E-06;5E-06;0.057;0.003;0.003;0.0;85.9;8.4e-05;2008;Primary Transit;13.3;680.0;1.41
CoRoT-30 b;Confirmed;2.9;0.22;0.22;;;;1.009;0.076;0.076;9.06005;0.00024;0.00024;0.0844;0.0012;0.0012;0.007;90.0;;2017;Primary Transit;15.65;960.0;0.98
CoRoT-31 b;Confirmed;0.84;0.34;0.34;;;;1.46;0.3;0.3;4.62941;0.00075;0.00075;0.0586;0.0034;0.0034;0.02;83.2;;2017;Primary Transit;15.7;2190.0;1.25
CoRoT-32 b;Confirmed;0.15;0.1;0.1;;;;0.57;0.06;0.06;6.71837;1E-05;1E-05;0.071;0.001;0.001;;89.0;;2017;Primary Transit;14.0;;1.09
CoRoT-33 b;Confirmed;59.2;1.8;1.8;59.0;1.8;1.8;1.1;0.53;0.53;5.819143;1.8e-05;1.8e-05;0.0579;;;0.07;85.5;;2015;Primary Transit;14.7;;0.86
CoRoT-4 b;Confirmed;0.72;0.08;0.08;;;;1.19;0.05;0.05;9.20205;0.00037;0.00037;0.09;0.001;0.001;0.0;90.0;;2008;Primary Transit;13.7;;1.1
CoRoT-5 b;Confirmed;0.467;0.024;0.047;;;;1.33;0.047;0.047;4.0378962;1.9e-06;1.9e-06;0.04947;0.00029;0.00029;0.09;85.83;0.000124;2008;Primary Transit;14.0;400.0;1.0
CoRoT-6 b;Confirmed;2.96;0.34;0.34;;;;1.166;0.035;0.035;8.886593;4E-06;4E-06;0.0855;0.0015;0.0015;0.1;89.07;;2009;Primary Transit;13.9;;1.055
CoRoT-7 b;Confirmed;0.0149;0.003;0.003;;;;0.136;;;0.853585;2.4e-05;2.4e-05;0.0172;0.00029;0.00029;0.12;80.1;0.000115;2009;Primary Transit;11.7;150.0;0.93
CoRoT-7 c;Confirmed;0.04266;0.0034;0.0034;0.0264;0.0028;0.0028;;;;3.698;0.003;0.003;0.046;;;0.12;;0.000307;2009;Radial Velocity;11.7;150.0;0.93
